ALV-5000/E-WIN Data
Date :	"24-Feb-12"
Time :	"19:30:32"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     488.00000
Angle [°]       :	      90.00000
Duration [s]    :	        10
Runs            :	         3
Mode            :	"DUAL AUTO CH0"
MeanCR0 [kHz]   :	    2652.99219
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average(0)"	"Run  1"	"Run  2"	"Run  3"	"Average(1)"	" 1,   0.000"	" 2,   0.000"	" 3,   0.000"	
  1.53600E+000	  5.40702E-004	  4.25030E-004	  5.12055E-004	  6.85022E-004	  9.49685E-004	  8.75778E-004	  8.49750E-004	  1.12353E-003	
  1.63840E+000	  5.51333E-004	  4.36715E-004	  5.14865E-004	  7.02419E-004	  9.40136E-004	  8.60425E-004	  8.45954E-004	  1.11403E-003	
  1.84320E+000	  5.41923E-004	  4.24856E-004	  5.09828E-004	  6.91087E-004	  9.14704E-004	  8.34318E-004	  8.23094E-004	  1.08670E-003	
  2.04800E+000	  5.11493E-004	  4.06641E-004	  4.64174E-004	  6.63663E-004	  8.86999E-004	  7.99507E-004	  7.91390E-004	  1.07010E-003	
  2.25280E+000	  5.06563E-004	  3.96119E-004	  4.73681E-004	  6.49888E-004	  8.86965E-004	  8.02814E-004	  7.96884E-004	  1.06120E-003	
  2.45760E+000	  4.95964E-004	  3.90839E-004	  4.42666E-004	  6.54388E-004	  8.38295E-004	  7.77365E-004	  7.36163E-004	  1.00136E-003	
  2.66240E+000	  4.84271E-004	  3.96549E-004	  4.40167E-004	  6.16098E-004	  8.21180E-004	  7.50928E-004	  7.31621E-004	  9.80992E-004	
  2.86720E+000	  4.73267E-004	  3.74162E-004	  4.22502E-004	  6.23139E-004	  8.24817E-004	  7.54852E-004	  7.19533E-004	  1.00007E-003	
  3.07200E+000	  4.75601E-004	  3.83656E-004	  4.24712E-004	  6.18436E-004	  8.25718E-004	  7.47185E-004	  7.55366E-004	  9.74602E-004	
  3.27680E+000	  4.63397E-004	  3.67557E-004	  4.13544E-004	  6.09089E-004	  7.94898E-004	  7.20561E-004	  7.23208E-004	  9.40926E-004	
  3.68640E+000	  4.45123E-004	  3.41574E-004	  4.01515E-004	  5.92282E-004	  7.77924E-004	  7.01713E-004	  6.99110E-004	  9.32950E-004	
