ALV-5000/E-WIN Data
Date :	"06.12.2013"
Time :	"11:21:42"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     488.00000
Angle [°]       :	       0.00000
Duration [s]    :	        20
Runs            :	         6
Mode            :	"SINGLE CROSS CH0"
MeanCR0 [kHz]   :	     120.53282
MeanCR1 [kHz]   :	     127.29026

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1, 121.727"	" 2, 121.917"	" 3, 122.189"	" 4, 121.098"	" 5, 122.615"	" 6, 120.533"	
  3.27168E+001	  7.35112E-004	 -3.58508E-004	  1.70091E-003	  1.08491E-003	  4.56353E-004	  1.11056E-003	  4.16444E-004	
  3.59936E+001	  1.02934E-003	 -5.57047E-004	  2.34059E-003	  8.66831E-004	  1.90785E-003	  7.08223E-004	  9.09579E-004	
  3.92704E+001	  1.06578E-003	 -4.66145E-004	  1.97358E-003	  1.33756E-003	  2.46086E-003	 -8.77961E-004	  1.96680E-003	
  4.25472E+001	  7.47453E-004	 -7.38294E-004	  1.73214E-003	  9.18733E-004	  2.93999E-003	 -1.62561E-003	  1.25776E-003	
  4.58240E+001	  1.48551E-004	 -1.03302E-003	  5.63160E-004	  3.15496E-004	  1.65140E-003	 -5.30577E-005	 -5.52662E-004	
  4.91008E+001	  1.92226E-004	  3.08531E-004	  1.91023E-003	  6.08587E-005	  2.59316E-004	 -9.23552E-004	 -4.62024E-004	
  5.23776E+001	  5.01440E-004	  1.74663E-003	  1.89033E-003	  9.67664E-004	 -8.76822E-004	  5.66985E-004	 -1.28615E-003	
  5.89312E+001	  4.43134E-004	  2.22032E-003	  1.55195E-003	  1.38290E-003	 -9.27409E-004	  3.07535E-004	 -1.87649E-003	
  6.54848E+001	 -1.41591E-004	  3.33373E-004	  1.58437E-003	  3.90761E-004	 -6.31132E-004	 -4.78431E-005	 -2.47908E-003	
  7.20384E+001	  7.42401E-006	  5.51074E-004	  8.66063E-004	 -7.30331E-004	  8.70982E-004	  3.75788E-004	 -1.88903E-003	
  7.85920E+001	 -3.00558E-004	 -4.66510E-004	  2.01945E-004	 -1.41263E-003	  1.66309E-003	 -3.47999E-004	 -1.44125E-003	
  8.51456E+001	 -1.80619E-004	  2.42035E-004	  7.02902E-004	 -8.97846E-004	  3.62418E-004	  9.62924E-004	 -2.45615E-003	
  9.16992E+001	  5.22047E-004	  4.77451E-004	  7.77685E-004	  7.19702E-004	  4.95823E-004	  1.16567E-003	 -5.04046E-004	
  9.82528E+001	  6.85898E-004	  1.31066E-003	  9.83393E-004	  1.17293E-003	 -6.90393E-005	  1.13739E-003	 -4.19941E-004	
  1.04806E+002	  8.93899E-005	  6.32959E-004	  3.97922E-004	  6.87459E-004	 -6.91894E-004	  3.76132E-004	 -8.66239E-004	
  1.17914E+002	 -1.03333E-004	  6.60490E-004	 -1.92360E-004	  2.21599E-004	 -8.17340E-004	  3.70458E-004	 -8.62846E-004	
  1.31021E+002	 -6.29774E-005	 -5.92907E-004	  7.24924E-005	  1.75535E-004	  3.38894E-004	  1.55392E-004	 -5.27271E-004	
  1.44128E+002	  3.48494E-004	 -5.93949E-004	  1.75022E-003	  1.63491E-004	  5.73295E-004	 -8.16221E-004	  1.01413E-003	
  1.57235E+002	  2.85742E-004	  7.99131E-005	  1.39214E-003	  8.77068E-004	  2.80193E-004	 -2.30190E-004	 -6.84669E-004	
  1.70342E+002	 -5.84576E-005	  7.30588E-004	 -5.93602E-004	 -8.78777E-004	  5.77559E-004	  1.25152E-004	 -3.11666E-004	
  1.83450E+002	  2.25574E-004	  2.37923E-004	  4.61097E-004	  1.10557E-003	  7.79462E-004	 -3.41553E-005	 -1.19645E-003	
  1.96557E+002	  2.49167E-005	 -4.12718E-005	 -4.75890E-004	  9.69584E-004	  1.03746E-003	 -2.35889E-004	 -1.10449E-003	
  2.09664E+002	 -1.87864E-004	  5.51365E-005	 -3.48748E-004	 -2.67703E-004	  1.49814E-003	 -9.29503E-004	 -1.13450E-003	
