ALV-5000/E-WIN Data
Date :	"06.12.2013"
Time :	"12:58:32"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     488.00000
Angle [°]       :	       0.00000
Duration [s]    :	        20
Runs            :	         6
Mode            :	"SINGLE CROSS CH0"
MeanCR0 [kHz]   :	     100.35390
MeanCR1 [kHz]   :	      96.75777

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1,  99.876"	" 2,  98.214"	" 3,  99.981"	" 4, 101.263"	" 5, 100.263"	" 6, 100.354"	
  1.31021E+002	 -3.35795E-004	  8.28391E-005	 -2.01193E-003	 -8.54895E-004	 -7.94028E-004	 -1.80490E-004	  1.74373E-003	
  1.44128E+002	  3.04627E-004	  1.94282E-003	 -1.70744E-003	 -1.74711E-003	  2.52263E-003	 -7.18259E-004	  1.53512E-003	
  1.57235E+002	  4.71992E-004	  3.37306E-003	 -2.44813E-003	 -4.22731E-004	  2.22421E-003	 -7.97114E-005	  1.85254E-004	
  1.70342E+002	  6.96792E-004	  2.66600E-003	 -1.49859E-003	  8.66879E-004	  1.10961E-003	  4.80206E-004	  5.56654E-004	
  1.83450E+002	  6.89439E-004	  1.42237E-003	  1.28892E-004	 -2.42285E-004	  2.82091E-004	  2.09533E-004	  2.33603E-003	
  1.96557E+002	  1.01675E-003	  2.48345E-003	  1.67584E-004	  8.35286E-004	 -3.37930E-004	  7.54809E-004	  2.19732E-003	
  2.09664E+002	  9.13778E-004	  2.35147E-003	  3.68485E-004	  8.12413E-004	 -5.75763E-004	  6.16018E-004	  1.91004E-003	
  2.35878E+002	  4.47322E-004	  1.35650E-003	  8.52622E-004	  3.24046E-004	  2.44913E-004	 -5.18657E-004	  4.24506E-004	
  2.62093E+002	  3.44866E-005	 -3.27738E-004	  2.20527E-004	 -4.15523E-004	  1.71049E-003	  3.43260E-004	 -1.32409E-003	
  2.88307E+002	  4.99277E-006	  4.71839E-005	 -1.38425E-003	 -3.41639E-005	  6.61007E-005	 -5.58033E-004	  1.89312E-003	
  3.14522E+002	 -5.77726E-004	  1.57025E-003	 -3.18668E-004	 -1.98143E-003	 -9.05071E-004	 -1.44739E-003	 -3.84045E-004	
  3.40736E+002	  2.99631E-004	  1.29182E-003	  3.81243E-004	  1.19719E-003	 -7.10613E-004	 -2.58729E-004	 -1.03121E-004	
  3.66950E+002	  9.17579E-005	 -1.44670E-004	  3.59415E-004	 -3.17088E-004	  7.90914E-004	  4.06442E-004	 -5.44465E-004	
  3.93165E+002	 -1.79623E-004	 -1.59462E-004	  1.23609E-003	 -1.47419E-003	 -9.81420E-004	  1.09772E-003	 -7.96490E-004	
  4.19379E+002	 -1.11579E-004	 -3.58762E-004	  1.18088E-003	 -1.72934E-003	 -3.66269E-004	  2.53520E-003	 -1.93117E-003	
  4.71808E+002	 -3.09381E-006	  3.80269E-004	 -3.14325E-004	 -4.24173E-004	 -1.05417E-003	  2.22602E-003	 -8.32189E-004	
  5.24237E+002	 -3.61845E-004	 -4.83103E-004	 -8.63782E-004	  1.20958E-003	 -1.82555E-003	  1.01100E-004	 -3.09318E-004	
  5.76666E+002	 -4.01266E-004	 -5.67964E-004	 -1.48388E-003	 -1.12348E-003	 -7.38022E-004	  1.81650E-003	 -3.10755E-004	
  6.29094E+002	 -3.82730E-004	 -8.33058E-004	 -1.32560E-003	  4.36161E-004	 -9.03256E-004	 -4.90035E-004	  8.19409E-004	
  6.81523E+002	  7.31902E-004	  8.74878E-005	  1.52151E-003	  1.96805E-003	 -5.06903E-005	  3.48329E-004	  5.16732E-004	
  7.33952E+002	  7.30086E-004	  1.78086E-003	  9.17519E-004	  1.99749E-004	  6.26714E-004	  1.15916E-003	 -3.03490E-004	
  7.86381E+002	  2.11085E-004	 -2.40863E-004	  7.29001E-004	 -8.45209E-004	  3.69811E-004	  1.07891E-003	  1.74858E-004	
