ALV-5000/E-WIN Data
Date :	"14.01.2011"
Time :	"15:23:50"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         6
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	     268.13739
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1, 266.992"	" 2, 266.543"	" 3, 266.916"	" 4, 266.046"	" 5, 267.830"	" 6, 268.137"	
  2.28864E+001	  2.89615E-004	  2.13092E-004	  2.46261E-004	  2.20045E-004	  3.19896E-004	  3.23159E-004	  4.15236E-004	
  2.45248E+001	  3.21564E-004	  1.39900E-004	  1.54592E-004	  4.81704E-004	  3.45132E-004	  3.21554E-004	  4.86504E-004	
  2.61632E+001	  1.54039E-004	  6.26281E-005	  1.15738E-004	  2.22192E-004	  7.32235E-005	  9.54005E-005	  3.55049E-004	
  2.94400E+001	  1.31044E-004	  6.28585E-005	  1.43842E-004	  6.66601E-005	  1.94800E-004	  5.86140E-005	  2.59491E-004	
  3.27168E+001	  1.76745E-004	  5.92031E-005	  4.44894E-006	  1.27013E-004	  1.88891E-004	  2.38494E-004	  4.42421E-004	
  3.59936E+001	  8.97566E-005	 -4.85753E-005	  9.24543E-005	  1.85792E-004	  1.02533E-004	 -2.48864E-005	  2.31221E-004	
  3.92704E+001	  9.47460E-005	  2.13060E-005	 -2.03732E-004	  1.74404E-004	  4.11625E-005	  7.77064E-005	  4.57630E-004	
  4.25472E+001	  2.03226E-005	  1.00780E-005	 -3.05044E-004	  3.95950E-005	 -6.00343E-005	  6.05042E-005	  3.76836E-004	
  4.58240E+001	 -2.04970E-005	  2.71663E-005	 -3.12340E-004	 -6.39424E-005	 -8.34997E-005	  1.78832E-004	  1.30802E-004	
  4.91008E+001	  4.15593E-005	  4.92413E-005	 -1.73590E-004	 -1.13644E-005	  2.42725E-005	  3.24086E-004	  3.67101E-005	
  5.23776E+001	  8.68953E-005	  1.30384E-004	 -7.78082E-005	  5.42926E-005	  1.22119E-004	  2.46607E-004	  4.57774E-005	
  5.89312E+001	  5.31782E-005	  1.07299E-004	 -1.27229E-004	  2.11024E-004	  1.14018E-004	  1.11573E-004	 -9.76150E-005	
  6.54848E+001	 -2.35080E-005	 -1.16508E-005	  1.71212E-005	 -1.09701E-004	  1.41597E-005	  9.05328E-005	 -1.41510E-004	
  7.20384E+001	 -3.86044E-005	 -9.67403E-005	 -1.09273E-004	  1.12153E-004	 -5.09336E-005	  1.06106E-004	 -1.92938E-004	
  7.85920E+001	  4.41679E-005	  3.74022E-005	  4.07789E-005	  4.24398E-005	  5.74774E-006	  1.80231E-004	 -4.15928E-005	
  8.51456E+001	  6.58565E-005	 -9.34908E-005	  1.18440E-004	 -4.08391E-006	  9.09242E-005	  3.22975E-004	 -3.96254E-005	
  9.16992E+001	  5.01541E-005	 -1.13209E-004	  1.64042E-004	  7.80776E-005	  2.17070E-004	 -4.37300E-005	 -1.32655E-006	
  9.82528E+001	  1.61228E-004	  5.62967E-005	  3.76930E-005	  4.34100E-004	  1.93741E-004	  4.99180E-005	  1.95618E-004	
  1.04806E+002	  9.79531E-005	  4.00886E-005	  1.88666E-004	  2.30312E-004	  1.98509E-005	  1.62693E-004	 -5.38917E-005	
  1.17914E+002	  1.27345E-004	  1.27155E-004	  2.43254E-004	 -9.64033E-006	  7.63988E-005	  1.91047E-004	  1.35859E-004	
  1.31021E+002	  9.33836E-006	 -6.21380E-005	  6.15148E-005	 -5.87738E-005	  1.26826E-004	  1.36042E-005	 -2.50033E-005	
  1.44128E+002	  2.57108E-005	  1.18574E-005	  2.55832E-004	  1.03971E-005	  1.09220E-004	 -1.50231E-004	 -8.28109E-005	
  1.57235E+002	  7.33576E-005	  1.75749E-004	  7.29920E-005	  5.48709E-005	  7.35746E-005	 -7.94546E-005	  1.42414E-004	
  1.70342E+002	 -9.21960E-006	  1.25512E-004	  4.15396E-005	  4.44832E-005	 -2.01099E-004	 -1.09717E-004	  4.39633E-005	
  1.83450E+002	  5.34038E-005	 -2.99674E-005	 -2.55233E-005	  3.66314E-005	  5.79459E-005	  1.53243E-004	  1.28093E-004	
  1.96557E+002	  4.10991E-005	  3.80035E-005	 -1.27744E-004	 -7.55192E-005	  1.18258E-004	  1.47715E-004	  1.45880E-004	
