ALV-5000/E-WIN Data
Date :	"11.02.2013"
Time :	"15:01:50"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	       0.00000
Angle [°]       :	       0.00000
Duration [s]    :	        60
Runs            :	         5
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	     123.59176
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1, 125.471"	" 2, 124.904"	" 3, 123.333"	" 4, 122.813"	" 5, 123.592"	
  3.07200E+000	  1.07393E-003	  1.66413E-003	  8.95704E-004	  1.16068E-003	  8.05006E-004	  8.44121E-004	
  3.22560E+000	  1.03785E-003	  1.48138E-003	  9.61626E-004	  1.10674E-003	  7.16417E-004	  9.23108E-004	
  3.63520E+000	  9.49748E-004	  1.24507E-003	  9.24499E-004	  1.02007E-003	  7.67430E-004	  7.91672E-004	
  4.04480E+000	  7.25686E-004	  6.78905E-004	  8.78501E-004	  1.32812E-003	  4.39075E-004	  3.03830E-004	
  4.45440E+000	  6.94083E-004	  7.08940E-004	  6.43144E-004	  9.30248E-004	  4.99336E-004	  6.88746E-004	
  4.86400E+000	  6.02182E-004	  6.19504E-004	  5.22585E-004	  6.69831E-004	  7.68102E-004	  4.30887E-004	
  5.27360E+000	  6.50421E-004	  7.71870E-004	  4.79506E-004	  8.22077E-004	  6.23017E-004	  5.55633E-004	
  5.68320E+000	  5.20165E-004	  7.95909E-004	  2.90195E-004	  4.09387E-004	  1.03884E-003	  6.65007E-005	
  6.09280E+000	  4.48684E-004	  5.80141E-004	  1.17095E-004	  5.19085E-004	  8.99193E-004	  1.27907E-004	
  6.50240E+000	  3.14729E-004	  5.45954E-004	  1.53984E-005	  3.08779E-004	  6.57810E-004	  4.57052E-005	
  7.32160E+000	  3.92163E-004	  4.71568E-004	  2.36129E-004	  5.25850E-004	  5.97397E-004	  1.29872E-004	
  8.14080E+000	  2.33214E-004	  4.83487E-004	  3.59137E-005	  3.77756E-004	  3.66547E-004	 -9.76333E-005	
  8.96000E+000	  2.00909E-004	  3.99381E-004	  1.92125E-004	  3.44823E-004	  4.85137E-004	 -4.16920E-004	
  9.77920E+000	  2.91214E-004	  5.24983E-004	  2.46274E-004	  5.11183E-004	  3.06987E-004	 -1.33360E-004	
  1.05984E+001	  1.63954E-004	  1.91740E-004	  2.81870E-004	  5.52375E-005	  4.13907E-004	 -1.22986E-004	
  1.14176E+001	  1.96857E-005	  6.67904E-005	  4.31600E-005	  1.11049E-004	  7.20640E-005	 -1.94635E-004	
